"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00292544420198178201";DIREITO DO CONSUMIDOR;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00021432620188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00066733120188173590";DIREITO DO CONSUMIDOR;"1A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-11 00:00:00;PETICAO CIVEL (241)
"00037197220188178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00189372120188178201";DIREITO CIVIL;"11O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00036386020178178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00055458720188172001";DIREITO DO CONSUMIDOR;SECAO A DA 27A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00031626720188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00010324020188178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00283020220188178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00048579120198172001";DIREITO PROCESSUAL CIVIL E DO TRABALHO;SECAO A DA 1A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00031773620188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00184274720198172001";DIREITO CIVIL;SECAO B DA 15A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
