"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00187689720198178201";DIREITO CIVIL;"11O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00237999820198178201";DIREITO CIVIL;"11O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00001464120188178221";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00002360820188173320";DIREITO CIVIL;VARA UNICA DA COMARCA DE SAO JOSE DA COROA GRANDE;2020-01-12 00:00:00;OUTROS PROCEDIMENTOS DE JURISDICAO VOLUNTARIA (1294)
"00020251620198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00003693320198178229";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PALMARES;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00125965220188172001";DIREITO CIVIL;SECAO B DA 28A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00000824320178172570";DIREITO CIVIL;"1A VARA DA COMARCA DE ESCADA";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00144613720188178201";DIREITO CIVIL;"18O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00300645320188178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00079031120188173590";DIREITO CIVIL;"1A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00225871820198172001";DIREITO DO CONSUMIDOR;SECAO B DA 23A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00329266020198178201";DIREITO CIVIL;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00001017520188173520";DIREITO CIVIL;VARA UNICA DA COMARCA DE TRIUNFO;2020-01-12 00:00:00;PETICAO CIVEL (241)
"00013567820198178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00034408620188178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00002098620178173020";DIREITO CIVIL;"1A VARA DA COMARCA DE OURICURI";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00005380520188172490";DIREITO CIVIL;VARA UNICA DA COMARCA DE CATENDE;2020-01-12 00:00:00;PETICAO CIVEL (241)
"00356250520168172001";DIREITO CIVIL;SECAO B DA 26A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;IMPUGNACAO DE CREDITO (114)
"00012448720198178201";DIREITO DO CONSUMIDOR;"16O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00033686520198178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00024374420198178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00006780320198173590";DIREITO DO CONSUMIDOR;"2A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00190161020178172001";DIREITO PROCESSUAL CIVIL E DO TRABALHO;SECAO A DA 13A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00276010720198178201";DIREITO CIVIL;"16O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00188678220158172001";DIREITO DO CONSUMIDOR;SECAO B DA 4A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00704832820178172001";DIREITO CIVIL;SECAO B DA 6A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00017385320198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00006212120188172490";DIREITO CIVIL;VARA UNICA DA COMARCA DE CATENDE;2020-01-12 00:00:00;PETICAO CIVEL (241)
"00410723220158178201";DIREITO CIVIL;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00294487820188178201";DIREITO DO CONSUMIDOR;"17O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00339900820198178201";DIREITO CIVIL;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00741294620178172001";DIREITO CIVIL;SECAO A DA 22A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00084574320188173590";DIREITO DO CONSUMIDOR;"1A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00019614020188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00471070320188178201";DIREITO CIVIL;"13O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00096665120198178201";DIREITO CIVIL;"18O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00386250820148178201";DIREITO DO CONSUMIDOR;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00005256720198173590";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-12 00:00:00;REINTEGRACAO / MANUTENCAO DE POSSE (1707)
"00285133820188178201";DIREITO DE IMAGEM;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO MANHA - 07:00H AS 13:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00356796320198172001";DIREITO DO CONSUMIDOR;SECAO A DA 6A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00003043920198173120";DIREITO CIVIL;"1A VARA DA COMARCA DE PETROLANDIA";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00335473320198172001";DIREITO DO CONSUMIDOR;SECAO A DA 22A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00371675320148178201";DIREITO CIVIL;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00385615620188178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00390679520198178201";DIREITO CIVIL;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00008663820198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00028673020188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00016943820178178221";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00020401920188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00021958520198178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000377520198178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00024769620198173590";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"2A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00032490720198178226";DIREITO CIVIL;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00030708920188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00281176020198172370";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00006490720188172290";DIREITO CIVIL;VARA UNICA DA COMARCA DE BODOCO;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00024044120178172730";DIREITO CIVIL;"1A VARA CIVEL DA COMARCA DE IPOJUCA";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00001619520188172890";DIREITO CIVIL;VARA UNICA DA COMARCA DE LAGOA DOS GATOS;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00064481520198178201";DIREITO CIVIL;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00500249220188178201";DIREITO DO CONSUMIDOR;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00017950320198172370";DIREITO CIVIL;"4A VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00001886420188172830";DIREITO CIVIL;VARA UNICA DA COMARCA DE JOAO ALFREDO;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00280921420198178201";DIREITO DO CONSUMIDOR;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00005124620188172380";DIREITO CIVIL;"2A VARA DA COMARCA DE CABROBO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00000205020198173340";DIREITO CIVIL;"1A VARA DA COMARCA DE SAO JOSE DO EGITO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00006155320198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00026411720178173590";DIREITO DO CONSUMIDOR;"2A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00036299820178178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00016813520198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00320553020198178201";DIREITO CIVIL;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00246342320188178201";DIREITO CIVIL;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00045713320178178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00338050420188178201";DIREITO CIVIL;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00001696320178172290";DIREITO CIVIL;VARA UNICA DA COMARCA DE BODOCO;2020-01-12 00:00:00;CUMPRIMENTO DE SENTENCA (156)
"00017578220188173030";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA DE PALMARES";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00007174220198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00042251420198178226";DIREITO CIVIL;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00104182320198178201";DIREITO DO CONSUMIDOR;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00002109020198178229";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PALMARES;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00513238020138178201";DIREITO DO CONSUMIDOR;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00302784420188178201";DIREITO CIVIL;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00457591320198178201";DIREITO CIVIL;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00011346220188172110";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA DE AFOGADOS DA INGAZEIRA";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00030491620188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000584520188172290";DIREITO CIVIL;VARA UNICA DA COMARCA DE BODOCO;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00273891920198172370";DIREITO CIVIL;"5A VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00030275520168172370";DIREITO CIVIL;"4A VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00403750620188178201";DIREITO DO CONSUMIDOR;"16O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00450406520188178201";DIREITO DO CONSUMIDOR;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00196517820188178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00128698920178178201";DIREITO DO CONSUMIDOR;"11O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00443137220198178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00149313420198178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00002369720198178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00172969520188178201";DIREITO CIVIL;"12O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00003007520188173010";DIREITO ADMINISTRATIVO E OUTRAS MATERIAS DE DIREITO PUBLICO;VARA UNICA DA COMARCA DE OROCO;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00074168920178172001";DIREITO CIVIL;SECAO B DA 6A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;DESPEJO POR FALTA DE PAGAMENTO CUMULADO COM COBRANCA (94)
"00690932320178172001";DIREITO DO CONSUMIDOR;SECAO A DA 15A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00001433720198178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00433558620198178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000704720178173340";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"1A VARA DA COMARCA DE SAO JOSE DO EGITO";2020-01-12 00:00:00;TUTELA ANTECIPADA ANTECEDENTE (12135)
"00007601220198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00527154520198178201";DIREITO CIVIL;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00004238720198178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00251772620188178201";DIREITO CIVIL;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00212351920188172370";DIREITO CIVIL;"3A VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00229601020188178201";DIREITO DO CONSUMIDOR;"17O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00023538220158178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;CUMPRIMENTO DE SENTENCA (156)
"00486357220188178201";DIREITO DO CONSUMIDOR;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00373202320138178201";DIREITO DO CONSUMIDOR;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00002285120178173260";DIREITO ADMINISTRATIVO E OUTRAS MATERIAS DE DIREITO PUBLICO;VARA UNICA DA COMARCA DE SANTA MARIA DA BOA VISTA;2020-01-12 00:00:00;PETICAO CIVEL (241)
"00281116420128178201";DIREITO CIVIL;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00137146820158172001";DIREITO DO CONSUMIDOR;SECAO B DA 28A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00415204420168172001";DIREITO CIVIL;SECAO A DA 28A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00015240320168178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000444120198173320";DIREITO DO CONSUMIDOR;VARA UNICA DA COMARCA DE SAO JOSE DA COROA GRANDE;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00013013120198173020";DIREITO CIVIL;"2A VARA DA COMARCA DE OURICURI";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00011516420198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00043915820188178201";DIREITO CIVIL;"12O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00057448020168172001";DIREITO DO CONSUMIDOR;SECAO B DA 15A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00000149820198172190";DIREITO DO CONSUMIDOR;VARA UNICA DA COMARCA DE AMARAJI;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00008274120198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00024487320198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00030427620178178226";DIREITO CIVIL;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00094267220188172001";DIREITO DO CONSUMIDOR;SECAO A DA 24A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00004452420148178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;CUMPRIMENTO DE SENTENCA (156)
"00012316220188178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00009463720188173220";DIREITO CIVIL;"1A VARA CIVEL DA COMARCA DE SALGUEIRO";2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00008935520188178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
